Date,Circular_No,Category,Subject,Direction,Stock_Index,Event_Type,VIX_Level,VIX_5D_Change_Pct,Nifty_10D_HVol,Nifty_10D_Return,BankNifty_5D_HVol
2023-06-16,NCL/CMPT/57142,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,11.08,-0.36,6.83,0.83,8.26
2023-07-17,NCL/CMPT/57585,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,10.68,-6.81,7.6,1.25,6.7
2023-08-16,NCL/CMPT/57976,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,12.0,5.91,9.27,-1.52,10.73
2023-09-18,NCL/CMPT/58428,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,10.9,-3.96,4.27,3.4,7.97
2023-10-16,NCL/CMPT/58948,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,10.62,-6.84,9.56,0.57,11.87
2023-11-16,NCL/CMPT/59386,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,11.14,0.91,7.66,3.61,5.39
2023-12-18,NCL/CMPT/59795,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,13.13,2.9,9.46,3.72,11.01
2024-01-16,NCL/CMPT/60265,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,13.79,4.0,10.75,1.99,12.11
2024-02-16,NCL/CMPT/60736,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,15.23,-1.42,9.59,0.26,18.71
2024-03-18,NCL/CMPT/61177,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,13.69,-2.21,10.9,-1.41,9.0
2024-04-16,NCL/CMPT/61610,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,12.47,7.41,9.77,-0.84,13.12
2024-04-19,NCL/CMPT/61660,Other Margin Circular,Clearing Settlement and Risk Management- Nifty Next 50 Index,,Nifty,,13.04,17.37,10.44,-1.96,14.24
2024-04-24,NCL/CMPT/61714,Other Margin Circular,Cross Margin benefits for offsetting positions having different expiry dates,,See PDF,,10.2,-19.18,11.68,-1.32,14.23
2024-05-16,NCL/CMPT/62057,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,20.27,11.37,10.45,-1.98,9.82
2024-06-18,NCL/CMPT/62462,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,12.82,-21.83,40.32,0.87,51.75
2024-07-16,NCL/CMPT/62947,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,14.19,-0.63,6.1,1.92,12.18
2024-07-18,NCL/CMPT/62978,Other Margin Circular,Cross Margin benefits for offsetting positions having different expiry dates,,See PDF,,14.22,-1.46,5.45,1.34,6.77
2024-08-16,NCL/CMPT/63432,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,15.44,-6.99,18.84,-3.47,16.33
2024-09-16,NCL/CMPT/64068,Additional Exposure/Surveillance Margin,Additional Exposure Margin On Securities under MWPL,,Multiple Stocks - MWPL,,12.55,-11.87,13.29,0.31,15.19
2024-10-21,NCL/CMPT/64639,Extreme Loss Margin Change,Changes in Extreme Loss Margins,,Nifty,,13.04,0.31,8.68,0.24,14.49
2024-11-18,NCL/CMPT/65101,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,14.78,2.14,14.81,-3.17,18.97
2024-11-22,NCL/CMPT/65179,Margin Violation Penalty,Penalty and penal charges for Margin Violation,,See PDF,,15.99,3.56,9.09,-4.63,14.69
2024-12-16,NCL/CMPT/65605,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,13.05,-7.51,8.15,2.03,9.46
2025-01-16,NCL/CMPT/66158,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,15.26,4.09,11.89,-4.03,17.82
2025-02-17,NCL/CMPT/66698,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,15.02,3.94,12.56,-1.85,13.59
2025-03-17,NCL/CMPT/67136,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,13.28,-1.41,8.64,1.23,7.43
2025-04-16,NCL/CMPT/67572,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,16.13,-29.22,29.31,-0.81,27.95
2025-05-16,NCL/CMPT/68022,Additional Exposure/Surveillance Margin,Additional Exposure Margin on Securities under MWPL,,Multiple Stocks - MWPL,,16.89,-21.91,25.16,2.94,23.1
